By Day,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Reach,"Cost per 1,000 people reached",Frequency,Conversions,Cost per conversion,Conversions by conversion time,Cost per conversion by conversion time,Results,Cost per result,Result rate,Results (SKAN),Cost per result (SKAN),Result rate (SKAN),Clicks (all),CTR (all),Duet button clicks,Stitch button clicks,Use sound button clicks,Search result clicks,Anchor clicks,Anchor click rate,Hashtag clicks,Unique view content (all-channels),Cost per unique view content all-channels,Total view content all-channels,Cost per view content (all-channels),Value per view content (all-channels),Total view content value (all-channels),Unique add to cart (all-channels),Cost per unique add to cart (all-channels),Total add to cart (all-channels),Cost per add to cart (all-channels),Value per add to cart (all-channels),Total add to cart value (all-channels),Unique checkout (all-channels),Cost per unique checkout (all-channels),Total checkout (all-channels),Cost per checkout (all-channels),Value per checkout (all-channels),Total checkout value (all-channels),Unique add payment info (all-channels),Cost per unique add payment info (all-channels),Total add payment info (all-channels),Cost per add payment info (all-channels),Unique add to wishlist (all-channels),Cost per unique add to wishlist (all-channels),Total add to wishlist (all-channels),Cost per add to wishlist (all-channels),Value per add to wishlist (all-channels),Total add to wishlist value (all-channels),Unique search (all-channels),Cost per unique search (all-channels),Total search (all-channels),Cost per search (all-channels),Unique purchase (all-channels),Cost per unique purchase (all-channels),Total purchase (all-channels),Cost per purchase (all-channels),Value per purchase (all-channels),Total purchase (all-channels) value,Purchase ROAS (all-channels),App installs (SKAN),Cost per app install (SKAN),App installs (SKAN Privacy Withheld),Unique registrations (SKAN),Cost per unique registration (SKAN),Unique registration rate (SKAN),Registrations (SKAN),Cost per registration (SKAN),Unique purchases (SKAN),Cost per unique purchase (SKAN),Unique purchase rate (SKAN),Purchases (SKAN),Cost per purchase (SKAN),Purchase value (SKAN),Purchase ROAS (SKAN),Unique adds to cart (SKAN),Cost per unique add to cart (SKAN),Unique add to cart rate (SKAN),Adds to cart (SKAN),Cost per add to cart (SKAN),Add to cart value (SKAN),Unique checkouts (SKAN),Cost per unique checkout (SKAN),Unique checkout rate (SKAN),Checkouts (SKAN),Cost per checkout (SKAN),Checkout value (SKAN),Unique content views (SKAN),Cost per unique content view (SKAN),Unique content view rate (SKAN),Content views (SKAN),Cost per content view (SKAN),Content view value (SKAN),Unique payment info adds (SKAN),Cost per unique payment info add (SKAN),Unique payment info add rate (SKAN),Payment info adds (SKAN),Cost per payment info add (SKAN),Unique adds to wishlist (SKAN),Cost per unique add to wishlist (SKAN),Unique add to wishlist rate (SKAN),Adds to wishlist (SKAN),Cost per add to wishlist (SKAN),Add to wishlist value (SKAN),Unique app launches (SKAN),Cost per unique app launch (SKAN),Unique app launch rate (SKAN),App launches (SKAN),Cost per app launch (SKAN),Unique tutorials completed (SKAN),Cost per unique tutorial completed (SKAN),Unique tutorial completion rate (SKAN),Tutorials completed (SKAN),Cost per tutorial completed (SKAN),Tutorial completion value (SKAN),Unique groups created (SKAN),Cost per unique group created (SKAN),Unique group creation rate (SKAN),Groups created (SKAN),Cost per group created (SKAN),Group creation value (SKAN),Unique group joins (SKAN),Cost per unique group join (SKAN),Unique group joining rate (SKAN),Group joins (SKAN),Cost per group join (SKAN),Group joining value (SKAN),Unique roles created (SKAN),Cost per unique role created (SKAN),Unique role creation rate (SKAN),Roles created (SKAN),Cost per role created (SKAN),Role creation value (SKAN),Unique credit spends (SKAN),Cost per unique credit spend (SKAN),Unique credit spend rate (SKAN),Credit spends (SKAN),Cost per credit spend (SKAN),Credit spend value (SKAN),Unique levels achieved (SKAN),Cost per unique level achieved (SKAN),Unique level achievement rate (SKAN),Levels achieved (SKAN),Cost per level achieved (SKAN),Level achievement value (SKAN),Unique achievements unlocked (SKAN),Cost per unique achievement unlocked (SKAN),Unique achievement unlocked rate,Achievements unlocked (SKAN),Cost per achievement unlocked (SKAN),Unlocked achievement value (SKAN),Unique leads generated (SKAN),Cost per unique lead generated (SKAN),Unique lead generation rate (SKAN),Leads generated (SKAN),Cost per lead generated (SKAN),Lead generation value (SKAN),Unique in-app ad clicks (SKAN),Cost per unique in-app ad click (SKAN),Unique in-app ad click rate (SKAN),In-app ad clicks (SKAN),Cost per in-app ad click (SKAN),In-app ad click value (SKAN),Unique in-app ad impressions (SKAN),Cost per unique in-app ad impression (SKAN),Unique in-app ad impression rate (SKAN),In-app ad impressions (SKAN),Cost per in-app ad impression (SKAN),In-app ad impression value (SKAN),Unique loan applications (SKAN),Cost per unique loan application (SKAN),Unique loan application rate (SKAN),Loan applications (SKAN),Cost per loan application (SKAN),Unique loan approvals (SKAN),Cost per unique loan approval (SKAN),Unique loan approval rate (SKAN),Loan approvals (SKAN),Cost per loan approval (SKAN),Unique loan disbursals (SKAN),Cost per unique loan disbursal (SKAN),Unique loan disbursal rate (SKAN),Loan disbursals (SKAN),Cost per loan disbursal (SKAN),Unique logins (SKAN),Cost per unique login (SKAN),Unique login rate (SKAN),Logins (SKAN),Cost per login (SKAN),Unique ratings (SKAN),Cost per unique rating (SKAN),Unique rate rate (SKAN),Ratings (SKAN),Cost per rating (SKAN),Rating value (SKAN),Unique searches (SKAN),Cost per unique search (SKAN),Unique search rate (SKAN),Searches (SKAN),Cost per search (SKAN),Unique trial started (SKAN),Cost per unique trial started (SKAN),Unique trial start rate (SKAN),Trials started (SKAN),Cost per trial started (SKAN),Unique subscriptions (SKAN),Cost per unique subscription (SKAN),Unique subscription rate (SKAN),Subscriptions (SKAN),Cost per subscription (SKAN),Subscription value (SKAN),Purchases (offline),Cost per purchase (offline),Unique purchase rate (offline),Value per purchase (offline),Purchase value (offline),Purchase ROAS (offline),Contacts (offline),Cost per contact (offline),Unique contact rate (offline),Value per contact (offline),Contact value (offline),Subscriptions (offline),Cost per subscription (offline),Unique subscription rate (offline),Value per subscription (offline),Subscription value (offline),Form submissions (offline),Cost per form submitted (offline),Unique form submission rate (offline),Value per form submitted (offline),Form submission value (offline),Payment info adds (offline),Cost per payment info add (offline),Unique payment info add rate (offline),Value per payment info add (offline),Payment info add value (offline),Adds to cart (offline),Cost per add to cart (offline),Unique add to cart rate (offline),Value per add to cart (offline),Add to cart value (offline),Adds to wishlist (offline),Cost per add to wishlist (offline),Unique add to wishlist rate (offline),Value per add to wishlist (offline),Add to wishlist value (offline),Button clicks (offline),Cost per button click (offline),Unique button click rate (offline),Value per button click (offline),Button click value (offline),Registrations (offline),Cost per registration (offline),Unique registration rate (offline),Value per registration (offline),Registration value (offline),Downloads (offline),Cost per download (offline),Unique download rate (offline),Value per download (offline),Download value (offline),Checkouts initiated (offline),Cost per checkout initiated (offline),Unique checkout initiation rate (offline),Value per checkout initiated (offline),Checkout initiation value (offline),Orders placed (offline),Cost per order placed (offline),Unique orders placed rate (offline),Value per order placed (offline),Orders placed value (offline),Searches (offline),Cost per search (offline),Unique search rate (offline),Value per search (offline),Search value (offline),Content views (offline),Cost per content view (offline),Unique content view rate (offline),Value per content view (offline),Content view value (offline),Preferred leads (offline),Cost per preferred leads (offline),Preferred leads rate (offline),Location findings (offline),Cost per find location (offline),Find location rate (offline),Value per find location (offline),Find location value (offline),Schedules (offline),Cost per schedule (offline),Schedule rate (offline),Value per schedule (offline),Schedule value (offline),Start trial count (offline),Start trial rate (offline),Cost per start trial (offline),Value per start trial (offline),Total start trial value (offline),Submit application count (offline),Cost per submit application (offline),Submit application rate (offline),Value per submit application (offline),Total submit application value (offline),Application approvals (offline),Cost per application approval (offline),Application approval rate (offline),Value per application approval (offline),Total application approval value (offline),Product customizations (offline),Cost per product customization (offline),Product customization rate (offline),Value per product customization (offline),Total product customization value (offline),Custom events (offline),Cost per custom event (offline),Custom event rate (offline),Value per custom event (offline),Custom event value (offline),Leads (TikTok direct message),Cost per lead (TikTok direct message),Lead rate (TikTok direct message),ROAS (Shop),Purchases (Shop),Cost per purchase (Shop),Purchase rate (Shop),Average order value (Shop),Gross revenue (Shop),Purchases (Shop) by order submission time,Gross revenue (Shop) by order submission time,Items purchased (Shop),Checkouts initiated (Shop),Cost per checkout initiated (shop),Checkout initiation rate (Shop),Value per checkout initiated (Shop),Checkout initiation value (Shop),Product page views (Shop),Cost per product page view (Shop),Product page view rate (Shop),Value per product page view (Shop),Product page view value (Shop),Adds to cart (Shop),Cost per add to cart (Shop),Add to cart rate (Shop),Value per add to cart (Shop),Add to cart value (Shop),VTA conversions,Cost per VTA conversion,CTA conversions,Cost per CTA conversion,EVTA conversions,Cost per EVTA conversion,VTA app installs,Cost per VTA app install,CTA app installs,Cost per CTA app install,EVTA app installs,Cost per EVTA app install,VTA registrations,Cost per VTA registration,CTA registrations,Cost per CTA registration,EVTA registrations,Cost per EVTA registration,App installs,Cost per CTA app install,EVTA registrations (website),CTA app installs,Cost per app install,Cost per EVTA registration (website),VTA purchases (app),Cost per VTA purchase (app),CTA purchases (app),Cost per CTA purchase (app),EVTA purchases (app),Cost per EVTA purchase (app),VTA purchases (website),Cost per VTA purchase (website),CTA purchases (website),Cost per CTA purchase (website),EVTA purchases (website),Cost per EVTA purchase (website),VTA purchase value (website),CTA purchase value (website),VTA purchase ROAS (website),CTA purchase ROAS (website),VTA conversions (SKAN),Cost per VTA conversion (SKAN),CTA conversions (SKAN),Cost per CTA conversion (SKAN),VTA app installs (SKAN),Cost per VTA app install (SKAN),CTA app installs (SKAN),Cost per CTA app install (SKAN),VTA registrations (SKAN),Cost per VTA registration (SKAN),CTA registrations (SKAN),Cost per CTA registration (SKAN),VTA purchases (SKAN),Cost per VTA purchase (SKAN),CTA purchases (SKAN),Cost per CTA purchase (SKAN),LIVE leads,Cost per LIVE lead,App installs by conversion time,Cost per app install by conversion time,App installs,Cost per app install,Unique registrations (app),Cost per unique registration (app),Unique registration rate (app),Registrations (app),Cost per registration (app),Unique purchases (app),Cost per unique purchase (app),Unique purchase rate (app),Purchases (app),Cost per purchase (app),Value per purchase (app),Purchase value (app),Unique adds to cart (app),Cost per unique add to cart (app),Unique add to cart rate (app),Adds to cart (app),Cost per add to cart (app),Value per add to cart (app),Add to cart value (app),Unique checkouts (app),Cost per unique checkout (app),Unique checkout rate (app),Checkouts (app),Cost per checkout (app),Value per checkout (app),Checkout value (app),Unique content views (app),Cost per unique content view (app),Unique content view rate (app),Content views (app),Cost per content view (app),Value per content view (app),Content view value (app),Day 1 retentions,Cost per Day 1 retention,Day 1 retention rate,Day 1 retentions,Cost per Day 1 retention,Day 7 retentions,Cost per Day 7 retention,Day 7 retention rate,Day 7 retentions,Cost per Day 7 retention,Value per Day 7 retention,Day 7 retention value,Unique payment info adds (app),Cost per unique payment info add (app),Unique payment info add rate (app),Payment info adds (app),Cost per payment info add (app),Unique adds to wishlist (app),Cost per unique add to wishlist (app),Unique add to wishlist rate (app),Adds to wishlist (app),Cost per add to wishlist (app),Value per add to wishlist (app),Add to wishlist value (app),Unique app launches (app),Cost per unique app launch (app),Unique app launch rate (app),App launches (app),Cost per app launch (app),Unique tutorials completed (app),Cost per unique tutorial completion (app),Unique tutorial completion rate (app),Tutorials completed (app),Cost per tutorial completed (app),Value per tutorial completed (app),Tutorial completion value (app),Unique groups created (app),Cost per unique group created (app),Unique group creation rate (app),Groups created (app),Cost per group created (app),Value per group created (app),Group creation value (app),Unique group joins (app),Cost per unique group join (app),Unique group joining rate (app),Group joins (app),Cost per group join (app),Value per group join (app),Group joining value (app),Unique roles created (app),Cost per unique role created (app),Unique role creation rate (app),Roles created (app),Cost per role created (app),Value per role created (app),Role creation value (app),Unique credit spends (app),Cost per unique credit spend (app),Unique credit spend rate (app),Credit spends (app),Cost per credit spend (app),Value per credit spend (app),Credit spend value (app),Unique levels achieved (app),Cost per unique level achieved (app),Unique level achievement rate (app),Levels achieved (app),Cost per level achieved (app),Value per level achieved (app),Level achievement value (app),Unique achievements unlocked (app),Cost per unique achievement unlocked (app),Unique unlocked achievement rate (app),Achievements unlocked (app),Cost per achievement unlocked (app),Value per achievement unlocked (app),Unlocked achievement value (app),Unique leads generated (app),Cost per unique lead generated (app),Unique lead generation rate (app),Leads generated (app),Cost per lead generated (app),Value per lead generated (app),Lead generation value (app),Unique in-app ad clicks,Cost per unique in-app ad click,In-app ad click rate,In-app ad clicks,Cost per in-app ad click,Value per in-app ad click,In-app ad click value,Unique in-app ad impressions,Cost per unique in-app ad impression,In-app ad impression rate,In-app ad impressions,Cost per in-app ad impression,Value per in-app ad impression,In-app ad impression value,Unique loan applications (app),Cost per unique loan application (app),Unique loan application rate (app),Loan applications (app),Cost per loan application (app),Unique loan approvals (app),Cost per unique loan approval (app),Unique loan approval rate (app),Loan approvals (app),Cost per loan approval (app),Unique loan disbursals (app),Cost per unique loan disbursal (app),Unique loan disbursal rate (app),Loan disbursals (app),Cost per loan disbursal (app),Unique logins (app),Cost per unique login (app),Unique login rate (app),Logins (app),Cost per login (app),Unique ratings (app),Cost per unique rating (app),Unique rate rate,Ratings (app),Cost per rating (app),Value per rating (app),Rating value (app),Unique searches (app),Cost per unique search (app),Unique search rate (app),Searches (app),Cost per search (app),Unique trials started (app),Cost per unique trial started (app),Unique trial started rate (app),Trials started (app),Cost per trial started (app),Unique subscriptions (app),Cost per unique subscription (app),Unique subscription rate (app),Subscriptions (app),Cost per subscription (app),Value per subscription (app),Subscription value (app),Unique ad impressions,Cost per unique ads impression,Unique ad impression rate,Ads impressions,Cost per ads impression,Value per ads impression,Ads impression value,Ads impression ROAS,Ads impression ROAS,Ads impression ROAS,Ads impression ROAS,Ads impression ROAS,Ads impression ROAS,Ads impression ROAS,Payment completion ROAS (website),Purchases (website),Cost per purchase (website),Unique purchase rate (website),Value per purchase (website),Purchase value (website),Page views (website),Cost per page view (website),Page view rate (website),Value per page view (website),Total page view value (website),Button clicks (website),Cost per button click (website),Unique button click rate (website),Value per button click (website),Button click value (website),Contacts (website),Cost per contact (website),Unique contact rate (website),Value per contact (website),Contact value (website),Registrations (website),Cost per registration (website),Unique registration rate (website),Value per registration (website),Registration value (website),Content views (website),Cost per content view (website),Unique content view rate (website),Value per content view (website),Content view value (website),Adds to cart (website),Cost per add to cart (website),Unique add to cart rate (website),Value per add to cart (website),Add to cart value (website),Orders placed (website),Cost per order placed (website),Unique order placed rate (website),Value per order placed (website),Orders placed value (website),Checkouts initiated (website),Cost per checkout initiated (website),Unique checkout initiation rate (website),Value per checkout initiated (website),Checkout initiation value (website),Payment info added (website),Cost per payment info added (website),Unique payment info added rate (website),Value per payment info added (website),Add payment info value (website),Searches (website),Cost per search (website),Unique search rate (website),Value per search (website),Search value (website),Form submissions (website),Cost per form submitted (website),Unique form submission rate (website),Value per form submitted (website),Form submission value (website),Downloads (website),Cost per download (website),Unique download rate (website),Value per download (website),Download value (website),Adds to wishlist (website),Cost per add to wishlist (website),Unique add to wishlist rate (website),Value per add to wishlist (website),Add to wishlist value (website),Subscriptions (website),Cost per subscription (website),Unique subscription rate (website),Value per subscription (website),Subscription value (website),Location findings (website),Cost per find location (website),Find location rate (website),Value per find location (website),Find location value (website),Schedules (website),Cost per schedule (website),Schedule rate (website),Value per schedule (website),Schedule value (website),Start trial count (website),Cost per start trial (website),Start trial rate (website),Value per start trial (website),Total start trial value (website),Submit application count (website),Cost per submit application (website),Submit application rate (website),Value per submit application (website),Total submit application value (website),Application approvals (website),Cost per application approval (website),Application approval rate (website),Value per application approval (website),Total application approval value (website),Product customizations (website),Cost per customize product (website),Product customization rate (website),Value per product customization (website),Total product customization value (website),Custom events (website),Cost per custom event (website),Custom event rate (website),Value per custom event (website),Custom event value (website),Purchases ROAS (TikTok),Purchases (TikTok),Cost per purchase (TikTok),Purchase rate (TikTok),Value per purchase (TikTok),Purchase value (TikTok),Unique purchase,Cost per unique purchase,Day 1 purchase value,Day 2 purchase value,Day 3 purchase value,Day 4 purchase value,Day 5 purchase value,Day 20 purchase value,Day 27 purchase value,Day 29 purchase value,Day 1 purchase ROAS,Day 2 purchase ROAS,Day 3 purchase ROAS,Day 4 purchase ROAS,Day 5 purchase ROAS,Day 20 purchase ROAS,Day 27 purchase ROAS,Day 29 purchase ROAS,Checkouts initiated (TikTok),Cost per checkout initiation (TikTok),Checkout initiation rate (TikTok),Value per checkout initiation (TikTok),Checkout initiation value (TikTok),Adds to cart (TikTok),Cost per add to cart (TikTok),Add to cart rate (TikTok),Value per add to cart (TikTok),Add to cart value (TikTok),Cost per unique add to cart actions,Total landing page view (TikTok),Cost per landing page view (TikTok),Landing page view rate (TikTok),Product details page views (TikTok),Cost per product details page view (TikTok),Product details page view rate (TikTok),Value per product details page view (TikTok),Product details page view value (TikTok),Unique product details page view (Tiktok),Active by conversion time,Day 1 ad revenue,Day 2 ad revenue,Day 3 ad revenue,Day 4 ad revenue,Day 5 ad revenue,Day 1 ad revenue ROAS,Day 2 ad revenue ROAS,Day 3 ad revenue ROAS,Day 4 ad revenue ROAS,Day 5 ad revenue ROAS,Adds to wishlist (TikTok),Cost per add to wishlist (TikTok),Unique add to wishlist rate (TikTok),Value per add to wishlist (TikTok),Add to wishlist value (TikTok),Billing adds (TikTok),Cost per billing add (TikTok),Billing add rate (TikTok),Value per billing add (TikTok),Billing add value (TikTok),Form submissions (TikTok),Cost per form submitted (TikTok),Unique form submission rate (TikTok),Value per form submitted (TikTok),Form submission value (TikTok),Filtered out form submissions (onsite),App store clicks (TikTok),Cost per app store click (TikTok),App store click rate (TikTok),Destination visits (TikTok),Cost per destination visit (TikTok),Destination visit rate (TikTok),Page views (TikTok),Cost per page view (TikTok),Page view rate (TikTok),Outbound clicks (TikTok),Cost per outbound click (TikTok),Outbound click rate (TikTok),Product clicks (TikTok),Cost per product clicks (TikTok),Product clicks rate (TikTok),Unique subscriptions (TikTok),Cost per unique subscription (TikTok),Subscription rate (TikTok) (%),Subscriptions (TikTok),Cost per subscription (TikTok),Value per subscription (TikTok),Subscription value (TikTok),Day 0 subscription value,Day 1 subscription value,Day 2 subscription value,Day 3 subscription value,Day 4 subscription value,Day 5 subscription value,Day 6 subscription value,Day 13 subscription value,Day 20 subscription value,Day 27 subscription value,Day 29 subscription value,Ad revenue ROAS (TikTok),Currency
2026-05-04,234.37,0.21,5.12,45808,1132,2.47,27363,8.57,1.67,0,0.00,0,0.00,-,-,-,-,-,-,2667,5.82,0,0,0,6,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,3,78.12,3,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,3,78.12,0,0.00,3,78.12,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,10,23.44,0.88,0,0.00,0.00,1285,0.18,113.52,10,23.44,0.88,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,USD
