"project_id";"project_name";"app_id";"app_name";"first_seen_at";"last_seen_at";"last_seen_app_version";"last_seen_ip_country";"last_seen_platform";"last_seen_platform_version";"last_seen_sdk_version";"last_seen_locale";"price_experiment_id";"price_experiment_variant";"email";"phone_number";"media_source";"campaign";"ad_group";"ad";"keyword";"creative";"idfa";"idfv";"gps_ad_id";"custom_attributes";"has_made_sandbox_purchase";"latest_entitlement";"latest_entitlements";"latest_product";"is_rc_promo";"first_purchase_at";"trial_start_at";"trial_end_at";"most_recent_purchase_at";"most_recent_renewal_at";"latest_expiration_at";"subscription_opt_out_at";"trial_opt_out_at";"total_renewals";"total_spent";"latest_store";"latest_store_country";"latest_auto_renew_intent";"all_purchased_product_ids";"most_recent_billing_issues_at";"status";"has_made_a_non_subscription_purchase";"latest_offer";"latest_offer_type";"latest_purchased_offering";"latest_ownership_type";"app_user_id";"currency"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773795211312;1773795501000;"1.2";"FR";"iOS";"Version 26.2 (Build 23C55)";"5.59.0";"fr-FR,fr;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773795780000;1773795780000;1774400580000;1773795780000;;1774400580000;1773902302193;1773902302193;0;0.000000000000000;"app_store";"FR";"f";"com.gainframe.pro.yearly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:67ad92ca07654e7daf1f8797f32058fe";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773602980289;1773602987000;"1.1";"US";"iOS";"Version 26.2 (Build 23C55)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773603164000;1773603164000;1774207964000;1773603164000;;1774207964000;;;0;0.000000000000000;"app_store";"US";"t";"com.gainframe.pro.monthly";;"free_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:d878818b901a4803b6e0c3537974460d";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773033129296;1773033155000;"1.0";"BE";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"nl-NL,nl;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773062255000;;;1773062255000;;1775740655000;1773062264751;;0;6.903204170042399;"app_store";"BE";"f";"com.gainframe.pro.monthly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:e836bfbec0ae4d42969ef64b44979bf6";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772760415274;1773883177000;"1.2";"US";"iOS";"Version 26.2.1 (Build 23C71)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773110247000;;;1773110247000;;1804649847000;1773110256772;;0;29.989999999999998;"app_store";"US";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:9a4f194959244fb0a425c78c3f062849";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773509671825;1773509687000;"1.1";"US";"iOS";"Version 26.3 (Build 23D127)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773511256000;1773511256000;1774116056000;1773511256000;;1774116056000;;;0;0.000000000000000;"app_store";"US";"t";"com.gainframe.pro.yearly";;"free_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:170050f6da0944778863af587fcecd53";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773763067532;1773763128000;"1.1";"BR";"iOS";"Version 18.6.2 (Build 22G100)";"5.59.0";"pt-BR,pt;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773769959000;1773769959000;1774374759000;1773769959000;;1774374759000;;;0;0.000000000000000;"app_store";"BR";"t";"com.gainframe.pro.monthly";;"free_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:98a17b756b6f451795b86bc8dc17b6fe";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772894490724;1773832287000;"1.1";"US";"iOS";"Version 26.3 (Build 23D127)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773106608000;;;1773106608000;;1775785008000;1773106614246;;0;4.990000000000000;"app_store";"US";"f";"com.gainframe.pro.monthly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:4708ce442cf7460d8a2c387066439810";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773714195604;1773714206000;"1.1";"GB";"iOS";"Version 26.3 (Build 23D127)";"5.59.0";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773714521000;1773714521000;1774319321000;1773714521000;;1774319321000;;;0;0.000000000000000;"app_store";"GB";"t";"com.gainframe.pro.yearly";;"free_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:c0de5aa6a5304f2b8f69c5103b314c7f";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773595986117;1773595992000;"1.1";"US";"iOS";"Version 26.2.1 (Build 23C71)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773599283000;1773599283000;1774204083000;1773599283000;;1774204083000;;;0;0.000000000000000;"app_store";"US";"t";"com.gainframe.pro.monthly";;"free_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:a7347d40e7d94c4aa35987df78f356c0";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773470707063;1773470714000;"1.1";"NL";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773470923000;1773470923000;1774075723000;1773470923000;;1774075723000;1773578233816;1773578233816;0;0.000000000000000;"app_store";"NL";"f";"com.gainframe.pro.monthly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:94dd3f69e08743e39a248e49d30aabae";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773436936417;1773436957000;"1.1";"GB";"iOS";"Version 26.4 (Build 23E5218e)";"5.59.0";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773437282000;1773437282000;1774042082000;1773437282000;;1774042082000;;;0;0.000000000000000;"app_store";"GB";"t";"com.gainframe.pro.monthly";;"free_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:488a669f6c9c40199f5b4fa92d69999a";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773030187494;1773689352000;"1.1";"AU";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-AU,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773086975000;;;1773086975000;;1775765375000;1773086982457;;0;5.568169305797726;"app_store";"AU";"f";"com.gainframe.pro.monthly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:2a959fac8d0141028fa04fcd7fa23f68";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773730048123;1773730060000;"1.1";"HU";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"hu-HU,hu;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773730417000;1773730417000;1774335217000;1773730417000;;1774335217000;1773834272107;1773834272107;0;0.000000000000000;"app_store";"HU";"f";"com.gainframe.pro.yearly";;"cancelled_trial";"f";"Free Trial (com.gainframe.pro.yearly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:47a27d56583d4b7ea30f5d3da5caea66";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1773285328090;1773372596000;"1.0";"US";"iOS";"Version 26.3.1 (Build 23D8133)";"5.59.0";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.monthly";false;1773432626000;1773432626000;1774037426000;1773432626000;;1774037426000;;;0;0.000000000000000;"app_store";"US";"t";"com.gainframe.pro.monthly";;"free_trial";"f";"Free Trial (com.gainframe.pro.monthly)";"free_trial";"default";"PURCHASED";"$RCAnonymousID:a895b84caad1405f9002ae946e59255d";"USD"
"0033e581";"GainFrame";"app536199f887";"GainFrame (App Store) (App Store)";1772784337993;1773905717000;"1.2";"GB";"iOS";"Version 26.4 (Build 23E5207q)";"5.59.0";"en-GB,en;q=0.9";;;;;;;;;;;;;;;"f";;"GainFrame Pro";"com.gainframe.pro.yearly";false;1773063498000;;;1773063498000;;1804603098000;1773063527434;;0;39.902764453941508;"app_store";"GB";"f";"com.gainframe.pro.yearly";;"cancelled";"f";;"no_offer";;"PURCHASED";"$RCAnonymousID:8dcb6cb3098c4cb6956a41fd7c2db0fc";"USD"
