eventName	eventCount	totalUsers
page_view	23480	11824
session_start	14343	11831
user_engagement	11721	6381
first_visit	11595	11453
bf_tool_photo_uploaded	3462	1414
bf_tool_estimate_requested	3238	1403
scroll	2835	2011
bf_tool_result_shown	1840	1148
physique_rater_requested	1313	756
click	991	678
outbound_app_store_click	833	763
bfv_slider_engaged	809	729
physique_rater_scored	743	681
bf_tool_rate_limited	687	455
bf_tool_view	596	412
cta_platform_alternative_click	481	409
bf_tool_error	385	199
bt_tool_generate_requested	363	214
bt_tool_photo_uploaded	354	218
bf_tool_visualizer_clicked	321	294
promo_film_sound_on	304	173
bf_tool_photo_unusable	293	194
bf_tool_cta_clicked	227	193
promo_film_watched_75	211	178
web_download_clicked	181	163
bt_tool_result_shown	177	161
waist_tool_calculated	120	118
tool_cta_viewed	115	82
bt_tool_rate_limited	104	77
physique_rater_rate_limited	96	74
bt_tool_unusable	95	61
bfv_cta_clicked	92	68
form_start	59	51
ab_tool_requested	55	11
physique_rater_cta_click	53	51
ab_tool_scored	42	10
bt_tool_error	40	24
bt_tool_download_clicked	33	19
bt_tool_download_completed	31	17
bt_tool_email_submitted	25	22
bt_tool_cta_clicked	22	19
bt_tool_second_run_unlocked	21	21
bf_tool_email_submitted	17	15
bt_tool_status_failed	17	14
tool_android_email_submitted	12	3
bf_tool_report_sent	9	9
physique_rater_android_email_submitted	9	1
bfv_tool_view	5	5
bf_tool_report_error	4	3
leaderboard_share_template_selected	3	1
file_download	2	2
leaderboard_share_clicked	2	1
tool_cta_clicked	2	2
ab_tool_cta_click	1	1
bt_tool_view	1	1
leaderboard_share_previewed	1	1
