WeekStart	newUsers	activeUsers	sessions	engagedSessions	engagementRate	screenPageViews	eventCount
2026-05-17	172	185	206	69	0.33495145631067963	270	816
2026-05-24	313	323	381	136	0.3569553805774278	481	1532
2026-05-31	444	458	511	209	0.4090019569471624	754	2315
2026-06-07	518	535	603	243	0.40298507462686567	887	2737
2026-06-14	524	549	624	243	0.3894230769230769	796	2647
2026-06-21	1346	1398	1577	638	0.40456563094483194	2199	6815
2026-06-28	3727	3814	4183	1119	0.26751135548649296	5301	16221
2026-07-05	2968	3196	3830	1815	0.47389033942558745	5525	17299
2026-07-12	2775	2976	3604	1813	0.5030521642619312	5624	18548
2026-07-19	2724	2834	3367	1722	0.5114345114345115	5541	19068
2026-07-26	2813	2941	3519	1832	0.5206024438761012	5662	20057
2026-08-02	4296	4495	5264	3139	0.5963145896656535	9047	30970
2026-08-09	3827	4084	4792	2752	0.5742904841402338	7694	27823
2026-08-16	1428	1530	1756	996	0.5671981776765376	2657	9701
