query	clicks	impressions	ctr	position
shoulder to waist ratio	5	1111	0.004500450045004501	8.663366336633663
ai personal trainer	3	938	0.0031982942430703624	8.360341151385928
average waist size for women	0	686	0.0	11.638483965014577
rate my body	17	388	0.04381443298969072	7.84020618556701
body scan app	15	351	0.042735042735042736	6.948717948717949
1.6 shoulder to waist ratio	0	296	0.0	9.283783783783784
leanlens	1	283	0.0035335689045936395	5.5265017667844525
average bicep size	0	279	0.0	7.516129032258065
ai personal trainer app	0	265	0.0	4.992452830188679
chest to waist ratio	11	255	0.043137254901960784	4.396078431372549
average biceps size cm 17 year old	0	236	0.0	7.3559322033898304
best body ai	7	199	0.035175879396984924	4.306532663316583
bicep size chart	0	198	0.0	8.378787878787879
how to measure shoulder to waist ratio	1	193	0.0051813471502590676	7.849740932642487
ffmi chart	0	186	0.0	8.591397849462366
8 body fat	0	186	0.0	9.123655913978494
waist to shoulder ratio	0	186	0.0	9.188172043010752
do i look fat	5	168	0.02976190476190476	8.06547619047619
shoulder circumference	0	168	0.0	9.56547619047619
body rating	2	164	0.012195121951219513	8.487804878048781
body fat percentage pictures	2	157	0.012738853503184714	13.337579617834395
body measurements for men	3	151	0.019867549668874173	9.900662251655628
bicep length	0	143	0.0	11.62937062937063
rate my physique	4	142	0.028169014084507043	9.394366197183098
8% body fat	0	131	0.0	9.366412213740459
average waist size for men	1	128	0.0078125	6.8046875
physique rating	6	128	0.046875	9.3984375
thelo app	1	127	0.007874015748031496	7.417322834645669
why do i weigh more than i look	0	127	0.0	7.732283464566929
body fat by picture	1	125	0.008	10.272
body fat percentage men pictures	0	125	0.0	12.944
perfect male body size	0	124	0.0	7.0
average chest size men	0	120	0.0	6.808333333333334
ai fitness coach	0	118	0.0	15.898305084745763
average bicep size for 6 feet tall guy	1	117	0.008547008547008548	8.324786324786324
male body proportions	1	113	0.008849557522123894	7.31858407079646
shoulder waist ratio	0	111	0.0	8.846846846846848
ideal shoulder to waist ratio	0	111	0.0	9.558558558558559
18 body fat men	0	107	0.0	6.672897196261682
average hip size for women	0	107	0.0	8.635514018691588
8 body fat male	0	105	0.0	9.17142857142857
