period	start	end	days	newUsers	sessions	engagedSessions	engagementRate	screenPageViews	clicks	impressions	ctr
ga4_may_full	2026-05-01	2026-05-31	31	1700.0	2040.0	765.0	0.375	2945.0			
ga4_june_to_date	2026-06-01	2026-08-17	78	27331.0	33563.0	16496.0	0.4914936090337574	51588.0			
ga4_may_comparable	2026-05-01	2026-05-17	17	1027.0	1246.0	479.0	0.38443017656500805	1890.0			
gsc_may_full	2026-05-01	2026-05-31	31						440.0	25984.0	0.016933497536945813
gsc_june_to_date	2026-06-01	2026-08-15	76						13274.0	704004.0	0.018855006505644853
gsc_may_comparable	2026-05-01	2026-05-15	15						249.0	14018.0	0.01776287630189756
