WeekStart	newUsers	activeUsers	sessions	engagedSessions	engagementRate	screenPageViews	eventCount
2026-05-03	269	279	327	152	0.4648318042813456	521	1496
2026-05-10	402	418	475	162	0.3410526315789474	649	1932
2026-05-17	348	362	401	140	0.3491271820448878	533	1624
2026-05-24	313	323	381	136	0.3569553805774278	481	1532
2026-05-31	444	458	511	209	0.4090019569471624	754	2315
2026-06-07	518	535	603	243	0.40298507462686567	887	2737
2026-06-14	524	549	624	243	0.3894230769230769	796	2647
2026-06-21	1346	1398	1577	638	0.40456563094483194	2199	6815
2026-06-28	3727	3814	4183	1119	0.26751135548649296	5301	16221
2026-07-05	2968	3196	3830	1815	0.47389033942558745	5525	17299
2026-07-12	2775	2976	3604	1813	0.5030521642619312	5624	18548
2026-07-19	2724	2834	3367	1722	0.5114345114345115	5541	19068
2026-07-26	2813	2941	3519	1832	0.5206024438761012	5662	20057
2026-08-02	530	581	671	6	0.00894187779433681	1047	3560
