query	recent_clicks	prior_clicks	click_delta	recent_impressions	prior_impressions	impression_delta	recent_ctr	prior_ctr	recent_position	prior_position
ai body scanner app	3	0	3	43	4	39	0.06976744186046512	0.0	9.279069767441861	5.5
ai bodyfat	3	0	3	18	7	11	0.16666666666666666	0.0	4.833333333333334	5.285714285714286
ai bodyfat estimate	7	3	4	43	33	10	0.16279069767441862	0.09090909090909091	5.883720930232558	5.818181818181818
ai fitness app	0	0	0	21	1	20	0.0	0.0	9.857142857142858	4.0
ai fitness coach	0	0	0	30	0	30	0.0	0.0	17.366666666666667	
ai fitness coach app	0	0	0	42	9	33	0.0	0.0	10.5	10.88888888888889
ai fitness coaching platform	0	0	0	23	2	21	0.0	0.0	28.26086956521739	63.0
ai fitness trainer	0	0	0	27	9	18	0.0	0.0	8.185185185185185	10.88888888888889
ai personal fitness coach	0	0	0	13	1	12	0.0	0.0	9.76923076923077	12.0
ai personal trainer	3	3	0	286	181	105	0.01048951048951049	0.016574585635359115	8.097902097902097	9.88950276243094
ai personal trainer app	0	1	-1	90	75	15	0.0	0.013333333333333334	5.533333333333333	5.493333333333333
ai personal trainer app download	0	0	0	10	1	9	0.0	0.0	9.4	10.0
ai personalized fitness app for athletes	0	0	0	44	39	5	0.0	0.0	8.772727272727273	8.333333333333332
ai physique rater	6	0	6	71	29	42	0.08450704225352113	0.0	5.549295774647887	9.862068965517242
ai trainer app	0	1	-1	10	9	1	0.0	0.1111111111111111	6.6	7.555555555555555
ai transformation app	0	0	0	10	1	9	0.0	0.0	9.4	9.0
ai workout coach	0	0	0	11	0	11	0.0	0.0	7.363636363636363	
alternatives to dexa scan	0	0	0	12	2	10	0.0	0.0	10.0	6.5
am i fat ai	0	2	-2	12	19	-7	0.0	0.10526315789473684	8.416666666666668	6.578947368421052
am i fat ai photo	1	1	0	4	14	-10	0.25	0.07142857142857142	6.75	7.428571428571429
app for body measurements	0	0	0	9	11	-2	0.0	0.0	9.333333333333334	9.454545454545455
app for taking progress photos on site?	0	0	0	10	12	-2	0.0	0.0	7.7	8.583333333333332
artificial intelligence personal trainer	0	0	0	16	0	16	0.0	0.0	1.5	
average body fat percentage for mothers in 30's	0	0	0	0	118	-118	0.0	0.0		7.508474576271187
average body fat percentage for women in america	0	0	0	0	10	-10	0.0	0.0		14.2
average body measurements male	0	0	0	7	11	-4	0.0	0.0	10.285714285714286	10.636363636363637
average body width	0	0	0	5	10	-5	0.0	0.0	34.4	21.7
average female hip circumference	0	0	0	0	13	-13	0.0	0.0		6.538461538461538
average female hip size	0	1	-1	0	12	-12	0.0	0.08333333333333333		6.166666666666667
average female shoulder width	0	0	0	0	33	-33	0.0	0.0		5.212121212121212
average female waist size	0	0	0	11	7	4	0.0	0.0	29.636363636363637	22.285714285714285
average hand length	0	0	0	7	11	-4	0.0	0.0	5.857142857142857	8.545454545454547
average hand size	0	0	0	12	51	-39	0.0	0.0	6.666666666666667	6.666666666666667
average hand span	0	0	0	4	19	-15	0.0	0.0	11.75	9.789473684210526
average hand span for a man	0	1	-1	0	10	-10	0.0	0.1		9.8
average hand width	0	0	0	1	14	-13	0.0	0.0	9.0	8.285714285714285
average hip circumference female	0	0	0	0	15	-15	0.0	0.0		4.8
average hip measurement female	0	0	0	0	15	-15	0.0	0.0		4.466666666666667
average hip size	0	0	0	2	32	-30	0.0	0.0	1.0	4.59375
average hip size for women	0	2	-2	0	136	-136	0.0	0.014705882352941176		4.007352941176471
average hip width	0	0	0	0	11	-11	0.0	0.0		4.727272727272727
average hip width women	0	1	-1	0	14	-14	0.0	0.07142857142857142		6.5
average hips size for women	0	0	0	0	10	-10	0.0	0.0		4.2
average male back	0	0	0	18	10	8	0.0	0.0	8.666666666666668	9.2
average male body measurements	0	0	0	21	24	-3	0.0	0.0	10.761904761904763	11.666666666666666
average male hand size	0	0	0	11	14	-3	0.0	0.0	8.272727272727273	9.357142857142858
average male proportions	0	0	0	13	6	7	0.0	0.0	8.153846153846153	9.0
average measurements for women	0	0	0	3	10	-7	0.0	0.0	31.333333333333332	17.1
average shoulder to waist ratio	0	0	0	13	0	13	0.0	0.0	6.769230769230769	
average shoulder to waist ratio men	0	0	0	12	0	12	0.0	0.0	6.583333333333333	
average shoulder width	0	0	0	3	48	-45	0.0	0.0	5.666666666666667	7.708333333333333
average shoulder width female	0	0	0	0	25	-25	0.0	0.0		3.24
average shoulder width for women	0	0	0	3	35	-32	0.0	0.0	1.6666666666666665	5.685714285714286
average shoulder width women	0	0	0	0	15	-15	0.0	0.0		4.0
average thigh size male	0	0	0	1	21	-20	0.0	0.0	4.0	1.5238095238095237
average waist size for 20 year old female	0	0	0	4	11	-7	0.0	0.0	8.75	7.909090909090909
average waist size for women	0	0	0	31	68	-37	0.0	0.0	15.32258064516129	9.867647058823529
average waist size for women in america	0	0	0	17	5	12	0.0	0.0	8.411764705882353	7.8
average waist size for women in us	0	0	0	18	29	-11	0.0	0.0	11.055555555555555	11.517241379310345
average woman hip size	0	0	0	0	11	-11	0.0	0.0		4.090909090909091
average woman shoulder width	0	0	0	0	10	-10	0.0	0.0		5.3
average women hip size	0	0	0	0	12	-12	0.0	0.0		4.083333333333334
best ai body editor	1	1	0	20	13	7	0.05	0.07692307692307693	2.3	3.1538461538461537
best ai body fat estimator	4	3	1	18	17	1	0.2222222222222222	0.17647058823529413	1.7222222222222223	2.0
best ai editing app for extreme body modifications	0	0	0	8	15	-7	0.0	0.0	4.0	2.8
best ai fitness app without wearables	0	0	0	6	10	-4	0.0	0.0	5.833333333333333	8.4
best ai fitness coach	0	0	0	22	7	15	0.0	0.0	5.409090909090909	6.285714285714286
best ai for body editing	0	1	-1	4	14	-10	0.0	0.07142857142857142	2.5	1.9285714285714286
best ai for personal training	0	0	0	12	10	2	0.0	0.0	4.833333333333334	6.3
best ai personal coach app	0	0	0	13	5	8	0.0	0.0	8.0	10.4
best ai personal trainer	0	0	0	32	42	-10	0.0	0.0	6.03125	7.738095238095238
best ai personal trainer app	1	1	0	26	34	-8	0.038461538461538464	0.029411764705882353	6.3076923076923075	5.705882352941177
best app for body measurements	0	0	0	17	10	7	0.0	0.0	6.235294117647059	8.9
best app for body recomposition	0	0	0	10	15	-5	0.0	0.0	3.8	3.533333333333333
best app for tracking body measurements	0	0	0	11	4	7	0.0	0.0	6.636363636363637	6.75
best app to track body measurements	0	0	0	12	9	3	0.0	0.0	7.5	7.111111111111111
best apps for body recomposition	1	1	0	11	5	6	0.09090909090909091	0.2	2.7272727272727275	4.0
best body ai	1	3	-2	58	34	24	0.017241379310344827	0.08823529411764706	4.344827586206897	5.235294117647059
best body ai app	0	1	-1	2	13	-11	0.0	0.07692307692307693	3.0	2.6153846153846154
best body editor app	0	1	-1	38	21	17	0.0	0.047619047619047616	5.2368421052631575	4.523809523809524
best body scan app	2	0	2	13	8	5	0.15384615384615385	0.0	1.6923076923076923	3.375
best body scan app free	0	0	0	11	3	8	0.0	0.0	2.8181818181818183	4.333333333333334
best body scanner app	2	0	2	19	13	6	0.10526315789473684	0.0	4.105263157894736	5.615384615384615
best free ai body editor	0	0	0	14	18	-4	0.0	0.0	8.285714285714285	8.777777777777779
best free ai personal trainer	0	1	-1	15	8	7	0.0	0.125	3.7333333333333334	3.625
biacromial width	0	0	0	1	40	-39	0.0	0.0	7.0	10.75
body composition app	1	1	0	18	23	-5	0.05555555555555555	0.043478260869565216	5.0	6.260869565217392
body dysmorphia why do i look fat in pictures but not in the mirror	1	0	1	6	18	-12	0.16666666666666666	0.0	9.833333333333334	5.388888888888889
body fat ai	12	10	2	109	59	50	0.11009174311926606	0.1694915254237288	5.6880733944954125	5.254237288135593
body fat ai calculator	1	0	1	8	12	-4	0.125	0.0	5.75	5.5
body fat ai estimator	3	4	-1	38	33	5	0.07894736842105263	0.12121212121212122	5.421052631578948	5.212121212121212
body fat analyzer ai	3	1	2	11	7	4	0.2727272727272727	0.14285714285714285	7.181818181818182	5.857142857142857
body fat app	1	1	0	18	18	0	0.05555555555555555	0.05555555555555555	5.277777777777778	5.5
body fat app free	2	0	2	10	1	9	0.2	0.0	2.0	7.0
body fat by picture	0	0	0	53	39	14	0.0	0.0	9.39622641509434	9.051282051282051
body fat calculator ai	5	4	1	51	38	13	0.09803921568627451	0.10526315789473684	7.549019607843137	6.184210526315789
body fat calculator by image	1	0	1	16	2	14	0.0625	0.0	6.3125	6.5
body fat calculator image	0	1	-1	7	10	-3	0.0	0.1	8.285714285714285	5.8
body fat calculator photo	7	0	7	36	16	20	0.19444444444444445	0.0	6.916666666666667	6.6875
body fat chart	0	0	0	1	14	-13	0.0	0.0	74.0	22.285714285714285
body fat estimate ai	7	5	2	67	61	6	0.1044776119402985	0.08196721311475409	5.7164179104477615	7.508196721311475
body fat estimate pictures	1	0	1	10	20	-10	0.1	0.0	13.6	18.85
body fat estimation ai	0	0	0	11	9	2	0.0	0.0	4.727272727272727	4.666666666666666
body fat estimator ai	6	11	-5	179	144	35	0.0335195530726257	0.0763888888888889	6.184357541899441	6.388888888888889
body fat estimator ai photo	0	0	0	15	7	8	0.0	0.0	5.6	25.285714285714285
body fat estimator from photo	0	3	-3	7	20	-13	0.0	0.15	5.857142857142857	7.05
body fat estimator photo	0	4	-4	8	15	-7	0.0	0.26666666666666666	6.0	7.266666666666667
body fat face change	0	0	0	11	4	7	0.0	0.0	10.363636363636363	8.25
body fat from image	1	1	0	11	20	-9	0.09090909090909091	0.05	6.636363636363637	7.2
body fat from photo	1	4	-3	11	15	-4	0.09090909090909091	0.26666666666666666	10.0	8.666666666666668
body fat images	0	0	0	0	10	-10	0.0	0.0		15.4
body fat percentage ai	7	7	0	46	49	-3	0.15217391304347827	0.14285714285714285	5.0	5.224489795918367
body fat percentage ai photo	1	1	0	15	12	3	0.06666666666666667	0.08333333333333333	4.4	4.5
body fat percentage app	0	2	-2	6	14	-8	0.0	0.14285714285714285	2.5	2.928571428571429
body fat percentage by picture	0	0	0	10	15	-5	0.0	0.0	10.3	10.133333333333333
body fat percentage calculator ai	0	2	-2	9	14	-5	0.0	0.14285714285714285	5.111111111111111	5.642857142857143
body fat percentage chart	0	0	0	9	56	-47	0.0	0.0	26.22222222222222	25.857142857142858
body fat percentage estimate pictures	0	0	0	4	12	-8	0.0	0.0	9.0	9.25
body fat percentage examples	0	0	0	2	12	-10	0.0	0.0	33.5	36.0
body fat percentage face	0	0	0	10	15	-5	0.0	0.0	13.0	16.46666666666667
body fat percentage from photo	1	1	0	8	11	-3	0.125	0.09090909090909091	9.25	9.090909090909092
body fat percentage men	0	0	0	4	24	-20	0.0	0.0	37.0	44.291666666666664
body fat percentage men pictures	0	0	0	10	35	-25	0.0	0.0	19.5	13.485714285714286
body fat percentage photo	0	1	-1	4	18	-14	0.0	0.05555555555555555	15.25	10.277777777777779
body fat percentage photos	0	0	0	4	11	-7	0.0	0.0	22.25	15.363636363636363
body fat percentage pictures	1	1	0	8	25	-17	0.125	0.04	18.875	17.16
body fat percentage pictures female	0	0	0	6	12	-6	0.0	0.0	19.666666666666668	27.916666666666668
body fat percentage visual	0	0	0	7	13	-6	0.0	0.0	19.714285714285715	17.076923076923077
body fat percentage visual estimation chart men mirror selfie	0	0	0	0	10	-10	0.0	0.0		7.8
body fat percentage visualiser	0	1	-1	6	12	-6	0.0	0.08333333333333333	8.833333333333332	9.5
body fat percentage visualizer	4	3	1	69	53	16	0.057971014492753624	0.05660377358490566	4.9855072463768115	7.0
body fat percentage women	0	0	0	0	12	-12	0.0	0.0		66.25
body fat percentages visualized	0	0	0	11	0	11	0.0	0.0	9.818181818181818	
body fat photo calculator	3	0	3	18	5	13	0.16666666666666666	0.0	6.888888888888889	6.4
body fat pictures	0	0	0	0	11	-11	0.0	0.0		17.90909090909091
body fat scales app	0	0	0	12	10	2	0.0	0.0	17.5	24.0
body fat scanner	1	0	1	8	12	-4	0.125	0.0	15.25	22.666666666666668
body fat scanner app	3	1	2	14	7	7	0.21428571428571427	0.14285714285714285	3.2857142857142856	3.2857142857142856
body fat tracker app	0	0	0	11	12	-1	0.0	0.0	9.181818181818182	8.75
body fat visualiser	5	2	3	52	21	31	0.09615384615384616	0.09523809523809523	5.211538461538462	7.0476190476190474
body fat visualizer	46	12	34	166	87	79	0.27710843373493976	0.13793103448275862	3.433734939759036	6.195402298850575
body measurement app	0	0	0	28	24	4	0.0	0.0	11.071428571428571	9.083333333333334
body measurements for men	0	0	0	43	6	37	0.0	0.0	10.55813953488372	12.166666666666666
body measurements men	1	0	1	23	8	15	0.043478260869565216	0.0	8.434782608695652	17.0
body proportions male	0	0	0	12	2	10	0.0	0.0	10.416666666666666	10.5
body rater	0	1	-1	13	78	-65	0.0	0.01282051282051282	7.538461538461538	8.602564102564102
body rating	0	3	-3	37	30	7	0.0	0.1	8.81081081081081	8.466666666666667
body rating ai	1	0	1	26	10	16	0.038461538461538464	0.0	4.3076923076923075	4.9
body rating app	0	2	-2	5	12	-7	0.0	0.16666666666666666	2.2	3.3333333333333335
body recomposition app	0	0	0	8	10	-2	0.0	0.0	5.25	5.3
body scan app	5	1	4	132	103	29	0.03787878787878788	0.009708737864077669	6.462121212121212	7.475728155339806
body scan apps	0	0	0	11	8	3	0.0	0.0	4.545454545454545	6.25
body scanner	0	0	0	36	32	4	0.0	0.0	18.555555555555557	16.9375
body scanner app	0	0	0	24	21	3	0.0	0.0	5.541666666666667	6.142857142857143
body scanning app	0	0	0	21	16	5	0.0	0.0	5.238095238095238	7.3125
body scanning application	0	0	0	11	8	3	0.0	0.0	5.090909090909091	10.125
body sizes men	0	0	0	11	12	-1	0.0	0.0	6.7272727272727275	7.5
body tracker app	0	0	0	14	5	9	0.0	0.0	5.714285714285714	10.0
body tracking app	0	0	0	22	1	21	0.0	0.0	6.954545454545454	8.0
body transformation app	2	1	1	22	10	12	0.09090909090909091	0.1	1.8181818181818183	4.9
body visualizer male	0	0	0	0	16	-16	0.0	0.0		9.25
body visualizer with body fat percentage	8	0	8	12	1	11	0.6666666666666666	0.0	2.25	9.0
bodyfat ai	7	3	4	39	32	7	0.1794871794871795	0.09375	5.589743589743589	5.0
bodyfat ai estimator	2	1	1	14	5	9	0.14285714285714285	0.2	5.285714285714286	4.4
bodyfat estimator ai	3	0	3	14	3	11	0.21428571428571427	0.0	5.428571428571429	4.333333333333334
bodyfat scanner	0	0	0	4	12	-8	0.0	0.0	20.0	19.166666666666668
bodyfat visualizer	1	0	1	11	2	9	0.09090909090909091	0.0	5.2727272727272725	3.0
can ai estimate body fat percentage	1	0	1	10	6	4	0.1	0.0	8.4	4.833333333333334
chest to waist ratio	2	0	2	87	27	60	0.022988505747126436	0.0	4.850574712643678	6.111111111111111
chest to waist ratio men	2	2	0	31	15	16	0.06451612903225806	0.13333333333333333	4.612903225806452	5.266666666666667
chest waist	0	0	0	25	11	14	0.0	0.0	4.12	5.181818181818182
chest waist ratio	0	0	0	13	4	9	0.0	0.0	7.846153846153846	5.0
compare my progress	0	0	0	6	11	-5	0.0	0.0	6.0	5.818181818181818
cuanto mide una muñeca promedio	0	0	0	1	10	-9	0.0	0.0	4.0	5.1
dexa alternative	0	0	0	10	8	2	0.0	0.0	9.4	7.25
dexa scan alternative	0	0	0	11	7	4	0.0	0.0	9.0	10.285714285714286
dexa scan alternatives	0	0	0	15	19	-4	0.0	0.0	7.266666666666667	9.789473684210526
dexa scan app	0	0	0	4	10	-6	0.0	0.0	10.0	9.5
does muscle weigh more than fat	0	0	0	10	44	-34	0.0	0.0	2.0	1.9772727272727273
estimate body fat from photo	0	0	0	3	18	-15	0.0	0.0	5.0	7.0
estimate body fat percentage from photo	0	1	-1	14	14	0	0.0	0.07142857142857142	6.785714285714286	6.428571428571429
face at different body fat percentages	0	0	0	13	10	3	0.0	0.0	10.153846153846153	10.0
facial leanness	0	0	0	5	13	-8	0.0	0.0	12.4	10.923076923076923
fat face vs lean face	0	0	0	11	12	-1	0.0	0.0	7.0	7.166666666666667
fat visualizer	6	1	5	12	17	-5	0.5	0.058823529411764705	2.166666666666667	5.0
female body fat percentage chart	0	0	0	0	10	-10	0.0	0.0		38.6
ffmi chart	0	1	-1	63	64	-1	0.0	0.015625	7.841269841269841	9.0
fitness comic	0	1	-1	13	10	3	0.0	0.1	4.769230769230769	5.2
free body scan app	1	0	1	17	5	12	0.058823529411764705	0.0	6.294117647058823	4.8
free body scanner app for weight loss	0	0	0	7	15	-8	0.0	0.0	6.0	9.133333333333333
gain frame	18	19	-1	39	35	4	0.46153846153846156	0.5428571428571428	3.2051282051282053	2.8
gainframe	94	134	-40	144	222	-78	0.6527777777777778	0.6036036036036037	1.0	1.0
gainframe app	4	16	-12	8	29	-21	0.5	0.5517241379310345	1.0	3.3793103448275863
gains coach vs fitbod	0	0	0	11	3	8	0.0	0.0	1.9090909090909092	2.0
gym comic	0	0	0	17	10	7	0.0	0.0	7.235294117647059	7.3
gym comics	0	0	0	18	7	11	0.0	0.0	6.777777777777778	9.142857142857142
hand length	0	0	0	1	48	-47	0.0	0.0	11.0	8.541666666666668
hand size	0	0	0	4	30	-26	0.0	0.0	8.25	9.933333333333334
hevy vs jefit	0	0	0	12	15	-3	0.0	0.0	10.166666666666666	8.333333333333332
hip measurement women	0	0	0	0	12	-12	0.0	0.0		8.166666666666668
hip size	0	0	0	1	25	-24	0.0	0.0	2.0	10.72
hip size for women	0	0	0	0	11	-11	0.0	0.0		7.2727272727272725
hip size girl	0	0	0	0	15	-15	0.0	0.0		7.133333333333334
how big is a hand	0	0	0	4	12	-8	0.0	0.0	11.0	10.166666666666666
how do ai personal trainer apps work?	0	0	0	11	6	5	0.0	0.0	5.7272727272727275	6.666666666666667
how long do newbie gains last	0	0	0	11	71	-60	0.0	0.0	10.272727272727273	10.014084507042254
how long does newbie gains last	0	0	0	2	16	-14	0.0	0.0	9.5	9.4375
how long is a hand	0	0	0	3	24	-21	0.0	0.0	10.666666666666666	9.791666666666666
how long is the average hand	0	0	0	2	14	-12	0.0	0.0	7.0	7.428571428571429
how much do body composition tests like dexa scans cost	0	0	0	26	24	2	0.0	0.0	3.923076923076923	4.208333333333334
how to calculate shoulder to waist ratio	0	0	0	21	0	21	0.0	0.0	8.047619047619047	
how to measure shoulder to waist ratio	0	0	0	43	0	43	0.0	0.0	7.930232558139535	
how to measure your visceral fat	0	0	0	11	2	9	0.0	0.0	43.36363636363637	40.5
how to read body measurements	0	0	0	9	22	-13	0.0	0.0	14.555555555555555	6.636363636363637
how to take body measurements	0	0	0	7	11	-4	0.0	0.0	35.142857142857146	37.27272727272727
how wide is the average hand	0	0	0	2	14	-12	0.0	0.0	8.5	9.571428571428571
hume pod	0	0	0	24	5	19	0.0	0.0	23.625	34.6
i weigh more than i look	0	0	0	0	15	-15	0.0	0.0		5.066666666666666
ideal body measurements	0	0	0	24	11	13	0.0	0.0	10.583333333333334	11.818181818181818
ideal body measurements for men	1	1	0	14	10	4	0.07142857142857142	0.1	6.142857142857143	8.0
ideal body measurements for women	0	0	0	0	28	-28	0.0	0.0		10.107142857142858
ideal body proportions female	0	0	0	0	11	-11	0.0	0.0		7.909090909090909
ideal chest size for 6 feet male	0	0	0	16	4	12	0.0	0.0	10.25	11.5
ideal chest size for male	0	0	0	19	5	14	0.0	0.0	10.578947368421053	9.8
ideal chest to waist ratio	0	0	0	14	4	10	0.0	0.0	7.357142857142857	7.5
ideal chest to waist ratio male	0	0	0	11	10	1	0.0	0.0	7.909090909090909	8.9
ideal male body measurements	0	0	0	11	2	9	0.0	0.0	11.181818181818182	8.0
ideal measurements for women	0	0	0	0	10	-10	0.0	0.0		8.7
ideal shoulder to waist ratio	0	0	0	25	0	25	0.0	0.0	9.84	
ideal shoulder to waist ratio male	1	0	1	18	0	18	0.05555555555555555	0.0	9.333333333333334	
ideal shoulder to waist ratio men	0	0	0	11	0	11	0.0	0.0	8.272727272727273	
inbody alternative	0	0	0	12	12	0	0.0	0.0	3.4166666666666665	5.5
inbody dial h30 vs withings body scan	0	0	0	10	5	5	0.0	0.0	13.3	17.2
inbody tissue alternative	0	0	0	11	4	7	0.0	0.0	2.4545454545454546	2.5
inbody vs withings	0	0	0	14	12	2	0.0	0.0	12.0	12.833333333333334
is 16 inch shoulders broad for female	0	0	0	0	13	-13	0.0	0.0		8.0
is 40 cm shoulder broad for a woman	0	0	0	0	11	-11	0.0	0.0		7.636363636363637
is 40 inch hips big for a woman	0	0	0	1	11	-10	0.0	0.0	3.0	8.363636363636363
is 41 inch hips big for a woman	0	0	0	1	14	-13	0.0	0.0	1.0	4.928571428571429
jefit vs hevy	1	0	1	18	12	6	0.05555555555555555	0.0	8.666666666666668	8.75
leanlens	0	1	-1	81	72	9	0.0	0.013888888888888888	5.160493827160494	5.791666666666667
leanlens ai	0	0	0	9	37	-28	0.0	0.0	5.333333333333333	5.621621621621622
male body fat percentage	0	0	0	4	10	-6	0.0	0.0	29.75	45.3
male body fat percentage pictures	0	0	0	2	11	-9	0.0	0.0	15.0	11.272727272727273
male body measurements	1	0	1	11	5	6	0.09090909090909091	0.0	7.0	11.4
male body proportions	0	0	0	33	38	-5	0.0	0.0	7.181818181818182	9.473684210526315
male proportions	0	0	0	17	2	15	0.0	0.0	7.411764705882353	17.5
men body fat percentage	0	0	0	1	10	-9	0.0	0.0	44.0	42.7
men body fat percentage pictures	0	0	0	3	14	-11	0.0	0.0	11.333333333333334	10.357142857142858
men body measurements	1	0	1	12	3	9	0.08333333333333333	0.0	5.666666666666667	9.333333333333334
muscle mass	0	0	0	0	12	-12	0.0	0.0		58.666666666666664
myfitnesspal progress photos feature official	0	0	0	12	3	9	0.0	0.0	8.75	9.0
natty limit	0	0	0	21	0	21	0.0	0.0	4.238095238095238	
newbie gains	0	0	0	12	10	2	0.0	0.0	7.5	18.0
no tracking photo app	0	0	0	9	10	-1	0.0	0.0	7.111111111111111	7.1
normal hip size for female	0	2	-2	1	188	-187	0.0	0.010638297872340425	1.0	6.675531914893617
perfect male body size	0	0	0	30	4	26	0.0	0.0	7.366666666666666	13.75
perfect size for men	0	0	0	14	6	8	0.0	0.0	8.0	7.833333333333333
perfect vital statistics for women	0	0	0	0	12	-12	0.0	0.0		7.916666666666667
personal ai trainer	0	0	0	11	5	6	0.0	0.0	10.272727272727273	11.6
personal trainer ai	0	0	0	22	6	16	0.0	0.0	10.090909090909092	10.0
physique rate ai	0	0	0	10	3	7	0.0	0.0	3.8	6.333333333333333
physique rater	9	1	8	171	132	39	0.05263157894736842	0.007575757575757576	5.900584795321637	7.553030303030303
physique rater ai	2	0	2	18	6	12	0.1111111111111111	0.0	3.2777777777777777	5.5
physique rating	2	8	-6	38	82	-44	0.05263157894736842	0.0975609756097561	9.842105263157896	8.060975609756097
physique rating ai	5	5	0	45	47	-2	0.1111111111111111	0.10638297872340426	3.533333333333333	4.723404255319149
progress photo app	1	0	1	9	12	-3	0.1111111111111111	0.0	3.5555555555555554	4.416666666666666
progress pics app	0	0	0	1	10	-9	0.0	0.0	5.0	2.5
rate my body	1	0	1	46	58	-12	0.021739130434782608	0.0	16.717391304347828	8.206896551724139
rate my body ai	1	0	1	12	10	2	0.08333333333333333	0.0	3.5	6.5
rate my physique	2	0	2	15	3	12	0.13333333333333333	0.0	11.466666666666667	21.666666666666668
rate my physique ai	3	0	3	24	32	-8	0.125	0.0	9.166666666666666	7.65625
ray ai personal trainer	0	1	-1	10	8	2	0.0	0.125	9.9	7.625
ray fitness	0	0	0	18	17	1	0.0	0.0	9.0	6.823529411764706
ray fitness app	0	0	0	15	14	1	0.0	0.0	9.533333333333333	8.428571428571429
recomp ai	0	0	0	7	12	-5	0.0	0.0	4.142857142857142	4.833333333333334
shoulder circumference	0	0	0	32	13	19	0.0	0.0	9.28125	9.846153846153847
shoulder to hip ratio	0	0	0	13	0	13	0.0	0.0	12.23076923076923	
shoulder to waist ratio	0	0	0	266	0	266	0.0	0.0	8.789473684210527	
shoulder to waist ratio men	0	0	0	12	0	12	0.0	0.0	8.666666666666668	
shoulder waist ratio	0	0	0	23	0	23	0.0	0.0	9.956521739130435	
shoulder width	0	0	0	3	16	-13	0.0	0.0	29.333333333333332	11.625
shoulder-to-waist ratio	0	0	0	12	0	12	0.0	0.0	8.0	
size 16 in inches waist	0	0	0	12	13	-1	0.0	0.0	22.75	23.0
skeletal muscle mass	0	0	0	21	13	8	0.0	0.0	41.95238095238095	39.38461538461539
skinny fat body recomposition	0	0	0	11	5	6	0.0	0.0	9.181818181818182	11.0
skinny fat female	0	0	0	1	13	-12	0.0	0.0	1.0	8.076923076923077
skinny fat recomp	0	0	0	18	9	9	0.0	0.0	8.777777777777779	9.222222222222221
