query	recent_clicks	prior_clicks	click_delta	recent_impressions	prior_impressions	impression_delta	recent_ctr	prior_ctr	recent_position	prior_position
"""shoulder-to-waist ratio"" ""1.6"" ""archives of sexual behavior"""	0	0	0	0	10	-10	0.0	0.0		4.7
(gainframe app what is it) (site:x.com or site:gainframe.app)	0	0	0	0	12	-12	0.0	0.0		1.0
(gainframe.app) (site:x.com or site:gainframe.app)	0	0	0	0	10	-10	0.0	0.0		1.0
1.5 shoulder to waist ratio	0	0	0	10	0	10	0.0	0.0	4.7	
1.6 shoulder to waist ratio	0	0	0	32	0	32	0.0	0.0	10.53125	
1.7 shoulder to waist ratio	0	0	0	13	0	13	0.0	0.0	8.384615384615385	
1.8 shoulder to waist ratio	0	0	0	12	2	10	0.0	0.0	6.166666666666667	6.5
15-17% bf cut, bulk or recomp	0	0	0	5	35	-30	0.0	0.0	4.2	3.6285714285714286
39 inch hips	0	0	0	0	21	-21	0.0	0.0		9.952380952380953
3d body scan app	1	0	1	10	9	1	0.1	0.0	8.5	10.666666666666666
3d body scanner app	0	1	-1	15	10	5	0.0	0.1	6.066666666666666	9.8
40 inch hip	0	0	0	0	11	-11	0.0	0.0		10.0
40 inch hips	0	0	0	0	18	-18	0.0	0.0		9.722222222222221
41 inch hips	0	0	0	0	15	-15	0.0	0.0		7.6
42 inch hips	0	0	0	0	19	-19	0.0	0.0		8.947368421052632
45 inch hips	0	0	0	0	12	-12	0.0	0.0		8.333333333333332
aesthetic body meaning	0	0	0	17	25	-8	0.0	0.0	10.529411764705882	9.16
aesthetic physics body	0	0	0	11	1	10	0.0	0.0	7.909090909090909	9.0
aesthetic physique	1	0	1	17	29	-12	0.058823529411764705	0.0	6.529411764705882	6.482758620689655
aesthetic physique meaning	1	0	1	16	14	2	0.0625	0.0	8.0625	7.214285714285714
affordable personal trainer alternative with ai	0	0	0	10	1	9	0.0	0.0	3.8	11.0
ai body fat	1	3	-2	34	29	5	0.029411764705882353	0.10344827586206896	5.617647058823529	5.068965517241379
ai body fat analyzer	2	3	-1	24	14	10	0.08333333333333333	0.21428571428571427	5.25	5.928571428571429
ai body fat calculator	22	23	-1	186	182	4	0.11827956989247312	0.12637362637362637	5.155913978494624	5.445054945054945
ai body fat calculator photo	4	2	2	16	12	4	0.25	0.16666666666666666	4.6875	4.916666666666666
ai body fat estimate	3	3	0	9	11	-2	0.3333333333333333	0.2727272727272727	4.0	5.636363636363637
ai body fat estimator	16	17	-1	105	101	4	0.1523809523809524	0.16831683168316833	5.0476190476190474	4.554455445544555
ai body fat percentage	3	3	0	18	24	-6	0.16666666666666666	0.125	4.222222222222222	10.125
ai body fat percentage calculator	7	1	6	16	7	9	0.4375	0.14285714285714285	4.0625	5.142857142857143
ai body fat scanner	1	3	-2	26	28	-2	0.038461538461538464	0.10714285714285714	4.038461538461538	5.25
ai body fat scanner free	6	11	-5	23	31	-8	0.2608695652173913	0.3548387096774194	1.3478260869565217	2.4193548387096775
ai body scan	0	0	0	1	12	-11	0.0	0.0	8.0	1.25
ai body scanner	0	0	0	2	14	-12	0.0	0.0	14.0	2.7142857142857144
