query	clicks	impressions	ctr	position
ai personal trainer	3	286	0.01048951048951049	8.097902097902097
shoulder to waist ratio	0	266	0.0	8.789473684210527
body fat estimator ai	6	179	0.0335195530726257	6.184357541899441
body scan app	5	132	0.03787878787878788	6.462121212121212
ai personal trainer app	0	90	0.0	5.533333333333333
chest to waist ratio	2	87	0.022988505747126436	4.850574712643678
leanlens	0	81	0.0	5.160493827160494
ffmi chart	0	63	0.0	7.841269841269841
best body ai	1	58	0.017241379310344827	4.344827586206897
body fat by picture	0	53	0.0	9.39622641509434
waist to shoulder ratio	0	52	0.0	9.057692307692308
rate my body	1	46	0.021739130434782608	16.717391304347828
ai personalized fitness app for athletes	0	44	0.0	8.772727272727273
how to measure shoulder to waist ratio	0	43	0.0	7.930232558139535
body measurements for men	0	43	0.0	10.55813953488372
ai fitness coach app	0	42	0.0	10.5
waist to chest ratio	1	38	0.02631578947368421	4.842105263157895
best body editor app	0	38	0.0	5.2368421052631575
body rating	0	37	0.0	8.81081081081081
body scanner	0	36	0.0	18.555555555555557
ai body fat	1	34	0.029411764705882353	5.617647058823529
male body proportions	0	33	0.0	7.181818181818182
best ai personal trainer	0	32	0.0	6.03125
shoulder circumference	0	32	0.0	9.28125
1.6 shoulder to waist ratio	0	32	0.0	10.53125
average waist size for women	0	31	0.0	15.32258064516129
why do i look skinnier in the mirror than on camera	0	30	0.0	5.3
perfect male body size	0	30	0.0	7.366666666666666
ai fitness coach	0	30	0.0	17.366666666666667
body measurement app	0	28	0.0	11.071428571428571
ai fitness trainer	0	27	0.0	8.185185185185185
ai body fat scanner	1	26	0.038461538461538464	4.038461538461538
body rating ai	1	26	0.038461538461538464	4.3076923076923075
best ai personal trainer app	1	26	0.038461538461538464	6.3076923076923075
chest waist	0	25	0.0	4.12
ideal shoulder to waist ratio	0	25	0.0	9.84
body scanner app	0	24	0.0	5.541666666666667
ideal body measurements	0	24	0.0	10.583333333333334
body measurements men	1	23	0.043478260869565216	8.434782608695652
waist to chest ratio male	0	23	0.0	9.08695652173913
shoulder waist ratio	0	23	0.0	9.956521739130435
best ai fitness coach	0	22	0.0	5.409090909090909
body tracking app	0	22	0.0	6.954545454545454
personal trainer ai	0	22	0.0	10.090909090909092
natty limit	0	21	0.0	4.238095238095238
body scanning app	0	21	0.0	5.238095238095238
what is the perfect size of a man	0	21	0.0	6.714285714285714
thelo app reviews	0	21	0.0	7.095238095238095
how to calculate shoulder to waist ratio	0	21	0.0	8.047619047619047
ai fitness app	0	21	0.0	9.857142857142858
average male body measurements	0	21	0.0	10.761904761904763
waist-to-height ratio chart	0	21	0.0	16.333333333333336
why do i look fat in pictures but not in the mirror	0	20	0.0	7.15
