period	start	end	days	newUsers	sessions	engagedSessions	engagementRate	screenPageViews	clicks	impressions	ctr
ga4_may_full	2026-05-01	2026-05-31	31	1700.0	2040.0	765.0	0.375	2945.0			
ga4_june_to_date	2026-06-01	2026-08-02	63	18310.0	22422.0	9615.0	0.4288199090179288	33237.0			
ga4_may_comparable	2026-05-01	2026-05-02	2	176.0	224.0	98.0	0.4375	437.0			
gsc_may_full	2026-05-01	2026-05-31	31						440.0	25984.0	0.016933497536945813
gsc_june_to_date	2026-06-01	2026-07-31	61						7640.0	375990.0	0.02031968935344025
gsc_may_comparable	2026-05-01	2026-05-31	31						440.0	25984.0	0.016933497536945813
