channel	recent_newUsers	prior_newUsers	recent_per_day	prior_per_day	newUsers_per_day_delta_pct	recent_sessions	prior_sessions
Direct	558	637	26.6	22.8	16.8	609	733
Organic Search	477	402	22.7	14.4	58.2	598	578
Unassigned	75	297	3.6	10.6	-66.3	85	314
Organic Social	41	83	2.0	3.0	-34.1	51	122
Referral	37	80	1.8	2.9	-38.3	53	111
AI Assistant	4	0	0.2	0.0	0	5	0
Email	0	8	0.0	0.3	-100.0	0	9
Paid Search	0	0	0.0	0.0	0	0	0
