date	clicks	impressions	ctr	position
2026-03-14	5	345	0.014492753623188406	11.23768115942029
2026-03-15	8	355	0.022535211267605635	12.583098591549296
2026-03-16	5	391	0.01278772378516624	10.57544757033248
2026-03-17	1	521	0.0019193857965451055	9.295585412667947
2026-03-18	0	577	0.0	11.079722703639515
2026-03-19	12	530	0.022641509433962263	10.247169811320754
2026-03-20	12	468	0.02564102564102564	7.254273504273504
2026-03-21	3	434	0.0069124423963133645	8.016129032258064
2026-03-22	4	552	0.007246376811594203	8.327898550724637
2026-03-23	2	514	0.0038910505836575876	7.346303501945525
2026-03-24	5	598	0.008361204013377926	6.894648829431438
2026-03-25	11	535	0.020560747663551402	8.92336448598131
2026-03-26	6	608	0.009868421052631578	9.90625
2026-03-27	5	516	0.009689922480620155	9.044573643410853
2026-03-28	12	508	0.023622047244094488	7.267716535433071
2026-03-29	9	633	0.014218009478672985	6.243285939968405
2026-03-30	6	539	0.011131725417439703	7.458256029684601
2026-03-31	7	537	0.01303538175046555	6.810055865921788
2026-04-01	4	736	0.005434782608695652	7.072010869565218
2026-04-02	11	509	0.021611001964636542	12.548133595284872
2026-04-03	6	489	0.012269938650306749	10.98364008179959
2026-04-04	7	507	0.013806706114398421	8.546351084812624
2026-04-05	6	695	0.008633093525179856	8.818705035971224
2026-04-06	6	574	0.010452961672473868	10.865853658536585
2026-04-07	1	506	0.001976284584980237	11.468379446640316
2026-04-08	5	424	0.01179245283018868	14.528301886792454
2026-04-09	1	413	0.002421307506053269	21.35593220338983
2026-04-10	4	339	0.011799410029498525	12.0
2026-04-11	6	260	0.023076923076923078	13.76923076923077
2026-04-12	5	313	0.01597444089456869	11.415335463258787
2026-04-13	7	302	0.023178807947019868	11.211920529801324
2026-04-14	7	357	0.0196078431372549	12.179271708683473
2026-04-15	6	523	0.011472275334608031	9.047801147227533
2026-04-16	15	724	0.020718232044198894	10.763812154696133
2026-04-17	14	740	0.01891891891891892	7.212162162162162
2026-04-18	12	790	0.015189873417721518	6.288607594936709
2026-04-19	11	662	0.01661631419939577	6.259818731117825
2026-04-20	15	859	0.017462165308498253	6.691501746216531
2026-04-21	16	875	0.018285714285714287	8.009142857142857
2026-04-22	15	1127	0.013309671694764862	7.005323868677906
2026-04-23	12	1089	0.011019283746556474	8.008264462809917
2026-04-24	10	1197	0.00835421888053467	8.416040100250626
2026-04-25	12	1479	0.008113590263691683	8.347532116294794
2026-04-26	22	1481	0.014854827819041188	8.099257258609047
2026-04-27	18	1174	0.015332197614991482	7.5366269165247015
2026-04-28	17	1083	0.01569713758079409	8.329639889196676
2026-04-29	11	954	0.011530398322851153	8.055555555555555
2026-04-30	23	1055	0.021800947867298578	9.003791469194313
2026-05-01	17	1143	0.014873140857392825	7.777777777777778
2026-05-02	17	919	0.018498367791077257	7.385201305767138
2026-05-03	28	1044	0.02681992337164751	7.989463601532567
2026-05-04	25	1041	0.024015369836695485	8.529298751200768
2026-05-05	16	1132	0.014134275618374558	7.926678445229682
2026-05-06	15	1142	0.013134851138353765	7.535901926444834
2026-05-07	24	1025	0.023414634146341463	8.385365853658538
2026-05-08	22	872	0.02522935779816514	7.35894495412844
2026-05-09	21	729	0.02880658436213992	8.818930041152264
2026-05-10	13	716	0.018156424581005588	9.949720670391061
2026-05-11	15	824	0.01820388349514563	8.91868932038835
2026-05-12	10	953	0.01049317943336831	12.184679958027282
2026-05-13	12	763	0.015727391874180863	12.665792922673656
2026-05-14	6	891	0.006734006734006734	14.872053872053872
2026-05-15	8	824	0.009708737864077669	14.106796116504855
2026-05-16	5	871	0.0057405281285878304	13.807118254879448
2026-05-17	9	881	0.01021566401816118	12.533484676503972
2026-05-18	7	720	0.009722222222222222	20.83888888888889
2026-05-19	19	294	0.06462585034013606	21.122448979591837
2026-05-20	11	301	0.036544850498338874	19.3953488372093
2026-05-21	8	276	0.028985507246376812	23.452898550724637
2026-05-22	5	316	0.015822784810126583	15.651898734177216
2026-05-23	5	441	0.011337868480725623	14.374149659863946
2026-05-24	12	543	0.022099447513812154	13.228360957642726
2026-05-25	19	745	0.025503355704697986	11.581208053691276
2026-05-26	12	626	0.019169329073482427	11.541533546325878
2026-05-27	15	709	0.021156558533145273	10.6262341325811
2026-05-28	14	820	0.01707317073170732	11.521951219512195
2026-05-29	12	1086	0.011049723756906077	9.17403314917127
2026-05-30	12	1485	0.00808080808080808	7.321212121212121
2026-05-31	26	1852	0.014038876889848811	7.014578833693305
2026-06-01	33	1471	0.022433718558803536	7.859279401767505
2026-06-02	17	963	0.017653167185877467	9.04257528556594
2026-06-03	20	1044	0.019157088122605363	8.314176245210728
2026-06-04	31	1103	0.028105167724388033	9.691749773345421
2026-06-05	34	1316	0.025835866261398176	8.630699088145896
2026-06-06	40	1429	0.02799160251924423	8.649405178446466
2026-06-07	28	1305	0.021455938697318006	8.539463601532567
2026-06-08	36	1422	0.02531645569620253	10.533052039381154
2026-06-09	30	1340	0.022388059701492536	10.42089552238806
