period	start	end	days	newUsers	sessions	engagedSessions	engagementRate	screenPageViews	clicks	impressions	ctr
ga4_may_full	2026-05-01	2026-05-31	31	1700.0	2040.0	765.0	0.375	2945.0			
ga4_june_to_date	2026-06-01	2026-06-11	11	735.0	856.0	362.0	0.42289719626168226	1303.0			
ga4_may_comparable	2026-05-01	2026-05-11	11	686.0	850.0	353.0	0.4152941176470588	1400.0			
gsc_may_full	2026-05-01	2026-05-31	31						440.0	25984.0	0.016933497536945813
gsc_june_to_date	2026-06-01	2026-06-09	9						269.0	11393.0	0.02361098920389713
gsc_may_comparable	2026-05-01	2026-05-09	9						185.0	9047.0	0.020448767547253232
