date	newUsers	activeUsers	sessions	engagedSessions	engagementRate	screenPageViews	eventCount
2026-03-14	284	288	295	18	0.061016949152542375	315	944
2026-04-21	140	143	158	67	0.4240506329113924	277	762
2026-05-01	121	125	147	72	0.4897959183673469	320	863
2026-06-11	93	95	101	40	0.39603960396039606	124	417
2026-04-07	91	96	106	39	0.36792452830188677	115	407
2026-06-01	73	73	81	31	0.38271604938271603	141	444
2026-06-06	73	75	83	35	0.42168674698795183	119	341
2026-05-04	72	75	87	28	0.3218390804597701	120	372
2026-06-08	71	72	78	37	0.47435897435897434	121	344
2026-05-13	70	71	85	27	0.3176470588235294	108	337
2026-03-30	69	73	82	34	0.4146341463414634	104	322
2026-05-19	68	68	74	29	0.3918918918918919	118	322
2026-06-05	67	69	79	30	0.379746835443038	97	298
2026-06-10	66	71	90	39	0.43333333333333335	156	475
2026-05-11	63	71	83	36	0.43373493975903615	150	372
2026-06-04	63	65	74	35	0.47297297297297297	111	351
2026-05-03	61	64	78	24	0.3076923076923077	105	305
2026-05-15	61	63	74	28	0.3783783783783784	96	292
2026-05-18	61	62	66	27	0.4090909090909091	87	283
2026-06-07	61	62	70	25	0.35714285714285715	79	250
2026-05-08	60	62	71	34	0.4788732394366197	105	318
2026-05-07	59	61	71	40	0.5633802816901409	113	365
2026-05-09	59	62	66	34	0.5151515151515151	100	299
2026-05-31	59	60	67	25	0.373134328358209	99	306
2026-06-09	59	65	73	37	0.5068493150684932	168	444
2026-06-03	58	62	66	25	0.3787878787878788	87	276
2026-05-16	56	56	58	12	0.20689655172413793	63	203
2026-05-02	55	63	77	26	0.33766233766233766	117	331
2026-05-12	54	55	64	25	0.390625	87	276
2026-05-14	53	55	60	19	0.31666666666666665	78	245
2026-04-22	52	56	67	33	0.4925373134328358	94	276
2026-05-27	52	55	64	19	0.296875	77	230
2026-06-02	51	54	61	28	0.45901639344262296	100	299
2026-04-27	50	56	69	29	0.42028985507246375	107	299
2026-05-05	49	50	61	14	0.22950819672131148	83	225
2026-05-20	48	54	63	29	0.4603174603174603	97	280
2026-05-24	48	49	58	23	0.39655172413793105	80	244
2026-03-28	47	49	52	18	0.34615384615384615	66	204
2026-04-06	47	49	60	23	0.38333333333333336	75	232
2026-05-17	47	47	55	15	0.2727272727272727	58	203
2026-05-22	47	49	51	19	0.37254901960784315	67	211
2026-05-29	46	48	56	13	0.23214285714285715	58	189
2026-04-01	45	45	46	12	0.2608695652173913	49	174
2026-05-10	45	47	51	15	0.29411764705882354	67	207
2026-05-25	44	45	56	24	0.42857142857142855	74	249
2026-04-26	42	47	56	30	0.5357142857142857	129	387
2026-05-06	42	44	58	30	0.5172413793103449	120	289
2026-05-26	42	43	54	19	0.35185185185185186	65	212
2026-05-28	41	42	48	21	0.4375	72	213
2026-04-25	40	44	48	21	0.4375	88	243
2026-04-30	40	45	58	30	0.5172413793103449	155	362
2026-05-30	40	41	45	17	0.37777777777777777	55	195
2026-04-13	39	41	47	14	0.2978723404255319	72	195
2026-04-28	39	44	53	37	0.6981132075471698	113	305
2026-05-21	39	42	46	13	0.2826086956521739	57	173
2026-05-23	38	40	46	8	0.17391304347826086	49	152
2026-03-20	37	40	51	18	0.35294117647058826	68	206
2026-03-16	35	39	45	21	0.4666666666666667	127	308
2026-04-16	35	36	42	16	0.38095238095238093	60	175
2026-03-15	34	38	44	15	0.3409090909090909	53	154
2026-03-26	33	36	49	17	0.3469387755102041	68	198
2026-04-19	33	33	35	6	0.17142857142857143	35	119
2026-04-12	32	32	33	11	0.3333333333333333	36	126
2026-04-17	31	34	40	16	0.4	51	155
2026-03-31	30	36	46	22	0.4782608695652174	103	266
2026-04-29	30	36	56	30	0.5357142857142857	179	423
2026-04-08	29	33	40	19	0.475	73	187
2026-04-11	29	31	38	17	0.4473684210526316	45	140
2026-04-14	29	32	38	13	0.34210526315789475	86	178
2026-04-02	27	28	29	11	0.3793103448275862	29	107
2026-04-23	27	32	45	22	0.4888888888888889	165	355
2026-04-09	25	30	39	12	0.3076923076923077	69	188
2026-04-18	25	26	33	12	0.36363636363636365	46	130
2026-04-20	25	29	34	14	0.4117647058823529	43	132
2026-03-29	24	25	32	17	0.53125	54	155
2026-03-17	23	25	32	10	0.3125	47	131
2026-04-03	23	25	29	7	0.2413793103448276	42	115
2026-04-24	23	27	32	11	0.34375	49	135
2026-04-10	22	28	53	32	0.6037735849056604	260	505
2026-03-21	21	22	26	10	0.38461538461538464	32	101
2026-04-04	21	23	26	11	0.4230769230769231	33	96
2026-03-18	20	22	25	9	0.36	30	102
2026-03-19	20	23	28	9	0.32142857142857145	60	159
2026-03-22	20	21	25	6	0.24	27	93
2026-03-25	20	24	27	12	0.4444444444444444	42	130
2026-04-05	19	20	22	12	0.5454545454545454	29	92
2026-04-15	18	20	27	8	0.2962962962962963	37	95
2026-03-27	17	20	28	13	0.4642857142857143	33	94
2026-03-24	14	16	20	5	0.25	21	69
2026-03-23	13	14	16	6	0.375	19	68
