eventName	eventCount	totalUsers
page_view	24766	12503
session_start	15138	12483
user_engagement	12380	6759
first_visit	12262	12082
bf_tool_photo_uploaded	3590	1485
bf_tool_estimate_requested	3369	1472
scroll	3047	2169
bf_tool_result_shown	1912	1205
physique_rater_requested	1372	785
click	975	670
outbound_app_store_click	915	839
bfv_slider_engaged	851	765
physique_rater_scored	770	703
bf_tool_rate_limited	737	489
bf_tool_view	613	426
cta_platform_alternative_click	497	423
bf_tool_error	388	198
bt_tool_generate_requested	387	226
bt_tool_photo_uploaded	378	231
tool_cta_viewed	355	227
promo_film_sound_on	335	210
bf_tool_visualizer_clicked	324	298
bf_tool_photo_unusable	298	199
web_download_clicked	292	265
promo_film_watched_75	243	212
bf_tool_cta_clicked	224	191
bt_tool_result_shown	183	166
waist_tool_calculated	131	126
physique_rater_rate_limited	119	88
bt_tool_rate_limited	111	83
bt_tool_unusable	104	67
bfv_cta_clicked	99	75
form_start	72	64
ab_tool_requested	61	13
physique_rater_cta_click	55	53
ab_tool_scored	44	11
bt_tool_error	42	26
bt_tool_download_clicked	35	21
bt_tool_download_completed	34	20
bt_tool_email_submitted	27	24
bt_tool_cta_clicked	23	20
bt_tool_second_run_unlocked	23	23
bf_tool_email_submitted	20	18
bt_tool_status_failed	18	15
tool_android_email_submitted	17	6
bf_tool_report_sent	12	12
physique_rater_android_email_submitted	9	1
tool_cta_clicked	9	9
bfv_tool_view	6	6
bf_tool_report_error	4	3
leaderboard_share_template_selected	3	1
file_download	2	2
leaderboard_share_clicked	2	1
ab_tool_cta_click	1	1
bt_tool_view	1	1
leaderboard_share_previewed	1	1
