channel	recent_newUsers	prior_newUsers	recent_per_day	prior_per_day	newUsers_per_day_delta_pct	recent_sessions	prior_sessions
Organic Search	6953	5095	331.1	182.0	82.0	8460	6259
Direct	4068	4273	193.7	152.6	26.9	4521	4786
Organic Social	720	2916	34.3	104.1	-67.1	1001	3573
AI Assistant	242	161	11.5	5.8	100.4	267	180
Unassigned	193	23	9.2	0.8	1018.8	1372	489
Cross-network	65	0	3.1	0.0	0	65	0
Referral	19	25	0.9	0.9	1.3	25	54
Email	2	0	0.1	0.0	0	2	3
